R,G,B,a1,a2,a3
208,373,415,1,1,1
191,374,421,1,1,1
195,373,420,1,1,1
204,382,426,1,1,1
198,375,425,1,1,1
211,376,419,1,1,1
194,377,426,1,1,1
208,389,427,1,1,1
205,374,423,1,1,1
207,367,431,1,1,1
207,372,416,1,1,1
191,378,424,1,1,1
210,376,431,1,1,1
204,370,424,1,1,1
197,377,424,1,1,1
211,379,418,1,1,1
202,374,431,1,1,1
204,373,427,1,1,1
206,384,429,1,1,1
202,373,424,1,1,1
196,385,429,1,1,1
204,373,424,1,1,1
213,393,434,1,1,1
198,367,425,1,1,1
204,368,423,1,1,1
196,373,431,1,1,1
198,382,431,1,1,1
208,382,414,1,1,1
193,374,430,1,1,1
197,375,431,1,1,1
209,372,428,1,1,1
200,388,424,1,1,1
208,377,431,1,1,1
215,374,429,1,1,1
202,383,427,1,1,1
213,368,428,1,1,1
204,381,427,1,1,1
207,375,429,1,1,1
206,373,421,1,1,1
191,380,425,1,1,1
192,373,418,1,1,1
218,400,455,1,1,1
212,397,453,1,1,1
200,398,451,1,1,1
205,411,461,1,1,1
203,398,453,1,1,1
213,391,456,1,1,1
210,392,461,1,1,1
222,392,456,1,1,1
219,404,453,1,1,1
215,399,462,1,1,1
215,399,452,1,1,1
209,409,455,1,1,1
212,402,459,1,1,1
217,398,461,1,1,1
215,414,458,1,1,1
217,398,460,1,1,1
191,383,516,1,1,1
237,453,513,1,1,1
244,444,514,1,1,1
240,443,511,1,1,1
227,442,229,1,1,1
229,447,512,1,1,1
232,443,506,1,1,1
231,442,505,1,1,1
233,439,505,1,1,1
218,448,512,1,1,1
235,444,505,1,1,1
216,455,507,1,1,1
222,449,503,1,1,1
224,463,511,1,1,1
233,454,506,1,1,1
238,453,504,1,1,1
230,447,501,1,1,1
240,440,504,1,1,1
242,438,504,1,1,1
236,445,501,1,1,1
229,447,512,1,1,1
226,440,506,1,1,1
234,441,495,1,1,1
234,438,505,1,1,1
223,448,511,1,1,1
224,444,496,1,1,1
223,438,505,1,1,1
234,457,512,1,1,1
237,451,503,1,1,1
230,446,512,1,1,1
227,455,505,1,1,1
235,440,504,1,1,1
226,438,504,1,1,1
238,440,508,1,1,1
235,461,509,1,1,1
236,450,506,1,1,1
