R,G,B,a1,a2,a3
133,105,101,0,0,0
120,116,109,0,0,0
118,112,110,0,0,0
117,110,109,0,0,0
114,116,108,0,0,0
113,111,111,0,0,0
119,110,107,0,0,0
118,112,109,0,0,0
115,107,110,0,0,0
118,109,110,0,0,0
119,111,103,0,0,0
119,110,110,0,0,0
114,110,109,0,0,0
110,110,109,0,0,0
111,109,107,0,0,0
120,110,110,0,0,0
115,111,110,0,0,0
115,118,108,0,0,0
110,110,110,0,0,0
120,115,108,0,0,0
121,102,109,0,0,0
120,112,109,0,0,0
118,111,109,0,0,0
115,110,110,0,0,0
118,114,111,0,0,0
113,111,110,0,0,0
114,110,108,0,0,0
119,108,108,0,0,0
120,109,109,0,0,0
113,109,109,0,0,0
116,115,109,0,0,0
116,103,111,0,0,0
119,118,109,0,0,0
119,108,108,0,0,0
120,112,103,0,0,0
117,115,103,0,0,0
113,115,108,0,0,0
114,108,110,0,0,0
119,111,103,0,0,0
118,115,103,0,0,0
119,109,109,0,0,0
118,109,108,0,0,0
114,112,108,0,0,0
115,112,110,0,0,0
118,112,108,0,0,0
118,111,111,0,0,0
113,115,101,0,0,0
119,111,109,0,0,0
115,110,111,0,0,0
113,109,108,0,0,0
115,114,110,0,0,0
113,112,108,0,0,0
115,113,110,0,0,0
119,120,109,0,0,0
119,108,103,0,0,0
121,109,108,0,0,0
119,111,109,0,0,0
117,112,110,0,0,0
114,114,110,0,0,0
110,108,110,0,0,0
116,109,108,0,0,0
119,103,109,0,0,0
117,104,109,0,0,0
119,105,110,0,0,0
116,108,109,0,0,0
116,111,109,0,0,0
115,108,108,0,0,0
117,107,110,0,0,0
117,112,109,0,0,0
117,119,109,0,0,0
116,119,108,0,0,0
112,118,110,0,0,0
119,113,111,0,0,0
114,109,110,0,0,0
116,113,109,0,0,0
118,111,113,0,0,0
111,105,110,0,0,0
109,117,111,0,0,0
113,114,110,0,0,0
624,604,135,0,0,0
105,107,95,0,0,0
106,106,94,0,0,0
104,100,95,0,0,0
106,101,94,0,0,0
102,106,95,0,0,0
102,109,94,0,0,0
101,99,96,0,0,0
100,108,94,0,0,0
108,102,88,0,0,0
105,101,95,0,0,0
108,107,95,0,0,0
108,98,96,0,0,0
106,98,94,0,0,0
107,96,94,0,0,0
96,105,96,0,0,0
103,101,97,0,0,0
101,104,96,0,0,0
106,100,94,0,0,0
108,107,96,0,0,0
103,98,89,0,0,0
106,100,90,0,0,0
102,102,94,0,0,0
109,99,94,0,0,0
105,108,96,0,0,0
107,103,94,0,0,0
105,106,95,0,0,0
108,105,90,0,0,0
108,102,90,0,0,0
103,107,95,0,0,0
105,95,96,0,0,0
108,98,96,0,0,0
107,98,94,0,0,0
107,99,95,0,0,0
98,108,94,0,0,0
105,100,90,0,0,0
107,103,95,0,0,0
103,101,96,0,0,0
103,99,95,0,0,0
109,101,96,0,0,0
105,99,96,0,0,0
106,99,97,0,0,0
105,107,96,0,0,0
97,106,96,0,0,0
107,103,95,0,0,0
105,98,96,0,0,0
104,108,95,0,0,0
105,99,94,0,0,0
104,92,95,0,0,0
106,101,97,0,0,0
104,105,95,0,0,0
102,99,96,0,0,0
107,104,95,0,0,0
100,100,94,0,0,0
105,103,96,0,0,0
106,101,97,0,0,0
104,99,96,0,0,0
103,98,95,0,0,0
104,103,96,0,0,0
104,109,97,0,0,0
106,92,95,0,0,0
103,107,96,0,0,0
108,101,94,0,0,0
103,101,95,0,0,0
105,98,89,0,0,0
105,108,96,0,0,0
108,107,94,0,0,0
105,103,95,0,0,0
98,99,95,0,0,0
106,104,94,0,0,0
109,105,95,0,0,0
