R,G,B,a1,a2,a3
571,473,712,1,0,0
587,463,719,1,0,0
589,472,722,1,0,0
589,484,716,1,0,0
617,469,725,1,0,0
597,469,724,1,0,0
616,469,722,1,0,0
603,466,718,1,0,0
592,468,715,1,0,0
607,469,717,1,0,0
606,490,718,1,0,0
604,467,724,1,0,0
616,482,718,1,0,0
604,474,719,1,0,0
612,464,725,1,0,0
616,474,719,1,0,0
616,470,719,1,0,0
603,468,718,1,0,0
608,472,718,1,0,0
606,468,724,1,0,0
610,487,722,1,0,0
608,474,725,1,0,0
608,461,718,1,0,0
610,472,720,1,0,0
607,462,720,1,0,0
618,467,719,1,0,0
607,464,718,1,0,0
617,468,723,1,0,0
608,469,719,1,0,0
610,482,720,1,0,0
613,481,717,1,0,0
606,473,718,1,0,0
602,466,716,1,0,0
602,475,725,1,0,0
612,473,717,1,0,0
619,471,719,1,0,0
612,462,719,1,0,0
581,474,716,1,0,0
609,462,726,1,0,0
565,469,712,1,0,0
619,464,726,1,0,0
611,470,720,1,0,0
571,466,726,1,0,0
582,462,721,1,0,0
585,462,722,1,0,0
569,462,722,1,0,0
613,485,720,1,0,0
595,468,718,1,0,0
574,469,726,1,0,0
585,463,726,1,0,0
610,468,720,1,0,0
583,468,718,1,0,0
587,463,719,1,0,0
616,469,721,1,0,0
618,471,721,1,0,0
612,462,721,1,0,0
611,462,721,1,0,0
612,471,723,1,0,0
611,469,721,1,0,0
613,470,722,1,0,0
630,469,726,1,0,0
614,474,714,1,0,0
567,468,715,1,0,0
608,477,720,1,0,0
446,355,583,1,0,0
425,358,575,1,0,0
420,365,580,1,0,0
413,366,571,1,0,0
421,349,573,1,0,0
427,357,579,1,0,0
418,349,575,1,0,0
428,357,566,1,0,0
420,359,579,1,0,0
436,352,571,1,0,0
429,351,584,1,0,0
399,354,576,1,0,0
428,345,580,1,0,0
437,354,573,1,0,0
398,349,582,1,0,0
426,349,573,1,0,0
434,352,583,1,0,0
428,365,588,1,0,0
436,513,848,1,0,0
405,244,346,1,0,0
284,325,621,1,0,0
368,376,596,1,0,0
420,351,609,1,0,0
437,352,616,1,0,0
463,360,635,1,0,0
449,366,626,1,0,0
456,357,632,1,0,0
509,418,622,1,0,0
477,400,631,1,0,0
476,415,656,1,0,0
487,404,645,1,0,0
495,401,662,1,0,0
502,424,662,1,0,0
490,408,665,1,0,0
498,418,660,1,0,0
480,409,652,1,0,0
497,403,666,1,0,0
504,404,660,1,0,0
478,409,664,1,0,0
490,410,663,1,0,0
505,414,665,1,0,0
474,434,669,1,0,0
488,423,667,1,0,0
512,416,670,1,0,0
507,414,663,1,0,0
488,406,664,1,0,0
505,411,664,1,0,0
511,417,664,1,0,0
492,421,663,1,0,0
487,418,670,1,0,0
518,407,666,1,0,0
515,414,665,1,0,0
524,410,665,1,0,0
510,414,673,1,0,0
505,413,676,1,0,0
524,419,665,1,0,0
488,413,677,1,0,0
495,421,670,1,0,0
524,424,676,1,0,0
516,423,673,1,0,0
493,411,676,1,0,0
501,414,674,1,0,0
528,430,672,1,0,0
529,417,660,1,0,0
480,412,662,1,0,0
523,420,678,1,0,0
529,423,673,1,0,0
532,411,674,1,0,0
493,430,675,1,0,0
521,411,680,1,0,0
537,413,674,1,0,0
485,419,669,1,0,0
530,421,678,1,0,0
509,415,678,1,0,0
532,417,677,1,0,0
523,420,677,1,0,0
535,418,677,1,0,0
532,413,671,1,0,0
484,421,679,1,0,0
543,557,432,1,0,0
550,417,691,1,0,0
550,417,679,1,0,0
552,423,688,1,0,0
553,424,678,1,0,0
511,423,686,1,0,0
550,420,683,1,0,0
550,426,690,1,0,0
521,429,698,1,0,0
559,424,690,1,0,0
538,427,690,1,0,0
513,424,696,1,0,0
526,437,696,1,0,0
539,424,679,1,0,0
507,426,698,1,0,0
538,435,691,1,0,0
538,418,691,1,0,0
540,422,696,1,0,0
545,428,695,1,0,0
532,424,690,1,0,0
551,426,687,1,0,0
552,417,685,1,0,0
546,442,679,1,0,0
558,424,691,1,0,0
548,429,685,1,0,0
558,444,690,1,0,0
550,429,693,1,0,0
550,425,688,1,0,0
556,422,699,1,0,0
550,424,692,1,0,0
516,426,691,1,0,0
563,443,698,1,0,0
558,439,691,1,0,0
508,425,692,1,0,0
553,431,700,1,0,0
532,412,670,1,0,0
540,412,676,1,0,0
529,418,667,1,0,0
