R,G,B,a1,a2,a3
641,1015,906,0,1,0
565,1003,940,0,1,0
205,348,401,0,1,0
210,350,399,0,1,0
201,343,401,0,1,0
211,339,406,0,1,0
210,346,401,0,1,0
210,353,406,0,1,0
213,345,406,0,1,0
217,345,407,0,1,0
203,352,407,0,1,0
216,346,401,0,1,0
204,347,406,0,1,0
214,339,407,0,1,0
202,346,402,0,1,0
218,348,408,0,1,0
220,345,400,0,1,0
201,348,397,0,1,0
218,346,404,0,1,0
213,354,408,0,1,0
203,349,401,0,1,0
214,363,403,0,1,0
569,1096,1015,0,1,0
606,1094,1025,0,1,0
620,1113,1023,0,1,0
644,610,1104,0,1,0
641,1102,1019,0,1,0
643,1106,1013,0,1,0
635,1108,1018,0,1,0
612,1107,1029,0,1,0
644,1108,1019,0,1,0
646,1093,1014,0,1,0
598,1101,1010,0,1,0
648,1108,1030,0,1,0
647,1114,1026,0,1,0
644,1105,1015,0,1,0
643,1103,1027,0,1,0
638,1103,1025,0,1,0
647,1103,1027,0,1,0
642,1104,1017,0,1,0
648,1100,1019,0,1,0
647,1117,1023,0,1,0
639,1111,1019,0,1,0
634,1113,1026,0,1,0
599,1109,1018,0,1,0
648,1104,1011,0,1,0
631,1104,1030,0,1,0
619,1109,1019,0,1,0
644,1110,1018,0,1,0
654,1103,1025,0,1,0
645,1113,1029,0,1,0
613,1111,1024,0,1,0
649,1110,1020,0,1,0
592,1109,1026,0,1,0
648,1111,1029,0,1,0
629,1113,1029,0,1,0
634,1107,1024,0,1,0
595,1102,1032,0,1,0
614,1111,1029,0,1,0
642,1111,1024,0,1,0
625,1101,1020,0,1,0
644,1108,1025,0,1,0
645,1110,1026,0,1,0
635,1110,1025,0,1,0
654,1110,1019,0,1,0
639,1114,1025,0,1,0
601,1120,1667,0,1,0
2404,1030,879,0,1,0
470,954,878,0,1,0
487,952,878,0,1,0
475,956,878,0,1,0
505,955,888,0,1,0
483,956,883,0,1,0
475,958,888,0,1,0
489,960,891,0,1,0
498,959,889,0,1,0
484,960,888,0,1,0
487,960,882,0,1,0
500,962,893,0,1,0
502,960,894,0,1,0
507,962,889,0,1,0
472,959,883,0,1,0
472,962,898,0,1,0
508,961,891,0,1,0
488,960,886,0,1,0
509,963,886,0,1,0
457,957,891,0,1,0
486,960,881,0,1,0
512,960,887,0,1,0
506,960,891,0,1,0
482,960,893,0,1,0
506,960,887,0,1,0
492,963,888,0,1,0
505,963,886,0,1,0
494,969,890,0,1,0
491,959,898,0,1,0
460,965,888,0,1,0
467,965,899,0,1,0
509,964,897,0,1,0
486,961,890,0,1,0
499,959,891,0,1,0
507,965,892,0,1,0
462,960,891,0,1,0
464,960,886,0,1,0
498,961,890,0,1,0
501,959,887,0,1,0
500,958,891,0,1,0
501,961,890,0,1,0
501,960,884,0,1,0
512,956,888,0,1,0
505,962,891,0,1,0
505,964,890,0,1,0
476,958,891,0,1,0
499,959,896,0,1,0
507,962,883,0,1,0
397,720,715,0,1,0
391,775,727,0,1,0
371,770,725,0,1,0
409,775,725,0,1,0
401,771,729,0,1,0
387,770,725,0,1,0
396,776,727,0,1,0
402,771,730,0,1,0
408,769,723,0,1,0
380,771,733,0,1,0
408,774,724,0,1,0
395,773,723,0,1,0
396,775,737,0,1,0
411,776,733,0,1,0
405,776,727,0,1,0
402,781,730,0,1,0
396,764,733,0,1,0
390,776,731,0,1,0
405,778,734,0,1,0
401,776,723,0,1,0
402,768,726,0,1,0
399,773,726,0,1,0
405,770,734,0,1,0
409,766,734,0,1,0
399,768,726,0,1,0
407,785,730,0,1,0
381,769,728,0,1,0
406,779,738,0,1,0
395,772,725,0,1,0
386,769,730,0,1,0
401,765,738,0,1,0
400,769,729,0,1,0
407,776,735,0,1,0
383,781,729,0,1,0
392,763,718,0,1,0
