R,G,B,a1,a2,a3
208,373,415,1,1,0
191,374,421,1,1,0
195,373,420,1,1,0
204,382,426,1,1,0
198,375,425,1,1,0
211,376,419,1,1,0
194,377,426,1,1,0
208,389,427,1,1,0
205,374,423,1,1,0
207,367,431,1,1,0
207,372,416,1,1,0
191,378,424,1,1,0
210,376,431,1,1,0
204,370,424,1,1,0
197,377,424,1,1,0
211,379,418,1,1,0
202,374,431,1,1,0
204,373,427,1,1,0
206,384,429,1,1,0
202,373,424,1,1,0
196,385,429,1,1,0
204,373,424,1,1,0
213,393,434,1,1,0
198,367,425,1,1,0
204,368,423,1,1,0
196,373,431,1,1,0
198,382,431,1,1,0
208,382,414,1,1,0
193,374,430,1,1,0
197,375,431,1,1,0
209,372,428,1,1,0
200,388,424,1,1,0
208,377,431,1,1,0
215,374,429,1,1,0
202,383,427,1,1,0
213,368,428,1,1,0
204,381,427,1,1,0
207,375,429,1,1,0
206,373,421,1,1,0
191,380,425,1,1,0
192,373,418,1,1,0
218,400,455,1,1,0
212,397,453,1,1,0
200,398,451,1,1,0
205,411,461,1,1,0
203,398,453,1,1,0
213,391,456,1,1,0
210,392,461,1,1,0
222,392,456,1,1,0
219,404,453,1,1,0
215,399,462,1,1,0
215,399,452,1,1,0
209,409,455,1,1,0
212,402,459,1,1,0
217,398,461,1,1,0
215,414,458,1,1,0
217,398,460,1,1,0
191,383,516,1,1,0
237,453,513,1,1,0
244,444,514,1,1,0
240,443,511,1,1,0
227,442,229,1,1,0
229,447,512,1,1,0
232,443,506,1,1,0
231,442,505,1,1,0
233,439,505,1,1,0
218,448,512,1,1,0
235,444,505,1,1,0
216,455,507,1,1,0
222,449,503,1,1,0
224,463,511,1,1,0
233,454,506,1,1,0
238,453,504,1,1,0
230,447,501,1,1,0
240,440,504,1,1,0
242,438,504,1,1,0
236,445,501,1,1,0
229,447,512,1,1,0
226,440,506,1,1,0
234,441,495,1,1,0
234,438,505,1,1,0
223,448,511,1,1,0
224,444,496,1,1,0
223,438,505,1,1,0
234,457,512,1,1,0
237,451,503,1,1,0
230,446,512,1,1,0
227,455,505,1,1,0
235,440,504,1,1,0
226,438,504,1,1,0
238,440,508,1,1,0
235,461,509,1,1,0
236,450,506,1,1,0
222,438,504,1,1,0
242,439,505,1,1,0
221,445,511,1,1,0
225,456,505,1,1,0
241,444,503,1,1,0
242,444,504,1,1,0
242,444,506,1,1,0
224,447,510,1,1,0
224,444,504,1,1,0
236,438,506,1,1,0
234,443,510,1,1,0
233,443,511,1,1,0
235,452,503,1,1,0
239,458,509,1,1,0
239,444,501,1,1,0
242,438,509,1,1,0
232,438,495,1,1,0
235,444,505,1,1,0
237,453,503,1,1,0
239,450,511,1,1,0
237,443,510,1,1,0
234,443,498,1,1,0
235,445,500,1,1,0
233,444,503,1,1,0
239,441,510,1,1,0
236,450,503,1,1,0
228,447,499,1,1,0
235,438,510,1,1,0
243,459,506,1,1,0
224,437,509,1,1,0
227,451,505,1,1,0
220,456,385,1,1,0
202,379,428,1,1,0
277,381,488,1,1,0
204,424,492,1,1,0
212,436,473,1,1,0
208,412,489,1,1,0
207,431,484,1,1,0
199,413,477,1,1,0
213,419,214,1,1,0
204,421,491,1,1,0
210,431,489,1,1,0
207,418,488,1,1,0
197,415,473,1,1,0
209,413,489,1,1,0
205,425,484,1,1,0
205,413,484,1,1,0
213,413,485,1,1,0
212,440,483,1,1,0
211,413,489,1,1,0
205,419,483,1,1,0
208,421,491,1,1,0
206,419,486,1,1,0
213,413,485,1,1,0
212,419,491,1,1,0
214,420,490,1,1,0
211,418,490,1,1,0
