R,G,B,cebolla,manzana,limon,zanahoria
63,40,45,1,0,0,0
40,40,45,1,0,0,0
41,40,45,1,0,0,0
40,41,45,1,0,0,0
39,40,46,1,0,0,0
40,40,39,1,0,0,0
40,40,46,1,0,0,0
40,34,46,1,0,0,0
40,41,45,1,0,0,0
40,40,46,1,0,0,0
40,40,45,1,0,0,0
40,41,45,1,0,0,0
40,40,45,1,0,0,0
41,40,45,1,0,0,0
40,40,45,1,0,0,0
40,40,46,1,0,0,0
40,39,45,1,0,0,0
39,40,45,1,0,0,0
40,40,45,1,0,0,0
36,41,46,1,0,0,0
40,40,45,1,0,0,0
40,41,44,1,0,0,0
40,40,45,1,0,0,0
39,40,45,1,0,0,0
40,40,44,1,0,0,0
40,41,46,1,0,0,0
39,34,45,1,0,0,0
40,40,44,1,0,0,0
40,39,46,1,0,0,0
39,39,44,1,0,0,0
39,41,45,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
40,40,44,1,0,0,0
40,39,46,1,0,0,0
39,34,44,1,0,0,0
39,40,46,1,0,0,0
39,40,44,1,0,0,0
40,41,45,1,0,0,0
39,40,45,1,0,0,0
39,39,46,1,0,0,0
39,40,39,1,0,0,0
39,40,44,1,0,0,0
40,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
40,39,45,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
40,39,38,1,0,0,0
40,40,45,1,0,0,0
39,40,44,1,0,0,0
39,34,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,40,39,1,0,0,0
39,41,45,1,0,0,0
40,40,45,1,0,0,0
39,34,45,1,0,0,0
40,40,45,1,0,0,0
39,40,44,1,0,0,0
33,40,46,1,0,0,0
39,40,45,1,0,0,0
40,41,44,1,0,0,0
39,40,45,1,0,0,0
40,40,45,1,0,0,0
39,40,45,1,0,0,0
39,40,38,1,0,0,0
39,39,45,1,0,0,0
40,40,45,1,0,0,0
39,40,45,1,0,0,0
39,41,45,1,0,0,0
39,39,46,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,39,44,1,0,0,0
40,39,44,1,0,0,0
39,39,44,1,0,0,0
39,33,44,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,40,45,1,0,0,0
39,40,46,1,0,0,0
39,39,44,1,0,0,0
40,39,45,1,0,0,0
39,41,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,39,46,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,40,44,1,0,0,0
40,40,44,1,0,0,0
39,40,44,1,0,0,0
40,34,44,1,0,0,0
39,40,45,1,0,0,0
39,39,44,1,0,0,0
40,40,45,1,0,0,0
40,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,40,39,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
40,34,44,1,0,0,0
38,40,46,1,0,0,0
39,40,44,1,0,0,0
40,39,44,1,0,0,0
38,39,44,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,46,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
38,40,44,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
40,39,44,1,0,0,0
39,40,45,1,0,0,0
39,39,46,1,0,0,0
38,37,46,1,0,0,0
39,39,44,1,0,0,0
34,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
40,39,44,1,0,0,0
39,40,45,1,0,0,0
39,40,38,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
40,39,45,1,0,0,0
33,39,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,39,44,1,0,0,0
39,39,44,1,0,0,0
40,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,38,38,1,0,0,0
39,39,44,1,0,0,0
39,41,46,1,0,0,0
39,34,44,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
39,39,44,1,0,0,0
33,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
38,39,44,1,0,0,0
39,39,44,1,0,0,0
38,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,34,44,1,0,0,0
39,40,45,1,0,0,0
40,39,44,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,39,43,1,0,0,0
39,40,44,1,0,0,0
39,39,38,1,0,0,0
39,39,44,1,0,0,0
39,40,46,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
38,41,46,1,0,0,0
39,39,44,1,0,0,0
39,40,45,1,0,0,0
38,39,44,1,0,0,0
39,39,44,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
40,40,45,1,0,0,0
38,40,44,1,0,0,0
33,39,45,1,0,0,0
39,40,45,1,0,0,0
38,39,45,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
40,40,44,1,0,0,0
38,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
38,40,45,1,0,0,0
39,39,46,1,0,0,0
39,39,39,1,0,0,0
39,39,45,1,0,0,0
39,33,45,1,0,0,0
39,40,45,1,0,0,0
32,39,45,1,0,0,0
38,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
38,40,45,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
38,39,45,1,0,0,0
38,39,43,1,0,0,0
39,40,45,1,0,0,0
39,39,44,1,0,0,0
39,40,45,1,0,0,0
38,39,45,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
33,39,44,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,43,1,0,0,0
40,40,44,1,0,0,0
39,40,44,1,0,0,0
38,39,44,1,0,0,0
38,40,44,1,0,0,0
39,39,45,1,0,0,0
39,33,45,1,0,0,0
39,40,44,1,0,0,0
38,39,45,1,0,0,0
33,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
38,40,44,1,0,0,0
38,39,44,1,0,0,0
39,40,44,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,40,44,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
38,39,45,1,0,0,0
39,39,44,1,0,0,0
38,39,45,1,0,0,0
39,39,38,1,0,0,0
39,39,46,1,0,0,0
39,39,44,1,0,0,0
39,41,44,1,0,0,0
39,39,45,1,0,0,0
39,39,44,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
39,39,45,1,0,0,0
38,40,45,1,0,0,0
39,40,45,1,0,0,0
38,39,45,1,0,0,0
39,40,39,1,0,0,0
39,40,45,1,0,0,0
39,40,44,1,0,0,0
39,39,45,1,0,0,0
39,38,45,1,0,0,0
38,40,45,1,0,0,0
39,39,45,1,0,0,0
39,39,45,1,0,0,0
39,40,44,1,0,0,0
39,40,45,1,0,0,0
39,40,45,1,0,0,0
39,39,44,1,0,0,0
39,39,44,1,0,0,0
33,40,46,1,0,0,0
39,40,46,1,0,0,0
39,39,44,1,0,0,0
39,39,45,1,0,0,0
39,39,43,1,0,0,0
39,40,44,1,0,0,0
39,32,45,1,0,0,0
39,39,44,1,0,0,0
33,40,44,1,0,0,0
