R,G,B,cebolla,manzana,limon,zanahoria
119,99,155,0,0,1,0
93,99,161,0,0,1,0
94,98,152,0,0,1,0
93,102,156,0,0,1,0
91,100,156,0,0,1,0
93,99,162,0,0,1,0
92,101,154,0,0,1,0
91,92,147,0,0,1,0
92,98,155,0,0,1,0
92,99,154,0,0,1,0
92,100,151,0,0,1,0
92,98,155,0,0,1,0
86,103,148,0,0,1,0
93,99,155,0,0,1,0
92,99,154,0,0,1,0
92,93,148,0,0,1,0
92,98,154,0,0,1,0
87,101,154,0,0,1,0
92,98,151,0,0,1,0
91,102,160,0,0,1,0
93,98,162,0,0,1,0
93,103,155,0,0,1,0
93,98,155,0,0,1,0
93,101,152,0,0,1,0
93,99,155,0,0,1,0
92,98,156,0,0,1,0
93,99,158,0,0,1,0
91,97,150,0,0,1,0
91,102,151,0,0,1,0
93,99,151,0,0,1,0
91,102,154,0,0,1,0
92,102,151,0,0,1,0
92,98,155,0,0,1,0
92,94,154,0,0,1,0
91,97,158,0,0,1,0
92,97,162,0,0,1,0
91,97,157,0,0,1,0
93,101,155,0,0,1,0
93,99,156,0,0,1,0
91,102,146,0,0,1,0
92,101,151,0,0,1,0
92,91,157,0,0,1,0
92,97,151,0,0,1,0
91,96,160,0,0,1,0
91,96,160,0,0,1,0
85,97,158,0,0,1,0
93,93,148,0,0,1,0
93,100,158,0,0,1,0
93,97,157,0,0,1,0
92,101,147,0,0,1,0
93,99,157,0,0,1,0
92,98,156,0,0,1,0
92,98,158,0,0,1,0
94,99,149,0,0,1,0
92,98,156,0,0,1,0
88,101,153,0,0,1,0
94,99,156,0,0,1,0
92,97,159,0,0,1,0
85,101,145,0,0,1,0
92,100,159,0,0,1,0
92,102,162,0,0,1,0
93,100,155,0,0,1,0
93,99,158,0,0,1,0
92,94,149,0,0,1,0
91,98,156,0,0,1,0
95,99,156,0,0,1,0
88,96,147,0,0,1,0
93,99,154,0,0,1,0
87,103,149,0,0,1,0
91,98,157,0,0,1,0
92,99,155,0,0,1,0
94,94,148,0,0,1,0
92,100,157,0,0,1,0
87,99,155,0,0,1,0
93,101,156,0,0,1,0
92,100,155,0,0,1,0
92,92,157,0,0,1,0
94,101,156,0,0,1,0
94,98,158,0,0,1,0
91,98,158,0,0,1,0
94,95,157,0,0,1,0
92,100,157,0,0,1,0
86,99,156,0,0,1,0
92,102,159,0,0,1,0
92,101,158,0,0,1,0
91,100,152,0,0,1,0
92,102,154,0,0,1,0
91,92,157,0,0,1,0
92,99,154,0,0,1,0
94,100,159,0,0,1,0
92,98,151,0,0,1,0
92,98,158,0,0,1,0
94,102,157,0,0,1,0
92,94,151,0,0,1,0
93,101,157,0,0,1,0
93,102,155,0,0,1,0
92,100,157,0,0,1,0
93,100,159,0,0,1,0
94,102,158,0,0,1,0
92,102,162,0,0,1,0
92,98,158,0,0,1,0
87,101,160,0,0,1,0
93,95,150,0,0,1,0
91,99,157,0,0,1,0
86,102,158,0,0,1,0
94,101,159,0,0,1,0
92,101,157,0,0,1,0
92,103,151,0,0,1,0
92,102,157,0,0,1,0
94,96,148,0,0,1,0
93,102,157,0,0,1,0
95,99,154,0,0,1,0
91,100,156,0,0,1,0
92,102,158,0,0,1,0
92,94,150,0,0,1,0
94,100,159,0,0,1,0
94,98,155,0,0,1,0
93,100,159,0,0,1,0
94,100,151,0,0,1,0
91,103,156,0,0,1,0
94,95,157,0,0,1,0
93,101,157,0,0,1,0
93,103,156,0,0,1,0
93,100,156,0,0,1,0
93,101,157,0,0,1,0
87,97,154,0,0,1,0
91,100,161,0,0,1,0
94,100,158,0,0,1,0
91,101,150,0,0,1,0
92,98,154,0,0,1,0
92,101,152,0,0,1,0
92,103,157,0,0,1,0
92,95,156,0,0,1,0
92,100,158,0,0,1,0
91,102,159,0,0,1,0
94,101,158,0,0,1,0
94,101,158,0,0,1,0
87,103,157,0,0,1,0
