R,G,B,cebolla,manzana,limon,zanahoria
94,205,202,0,1,0,0
83,209,194,0,1,0,0
72,149,146,0,1,0,0
68,160,153,0,1,0,0
66,146,133,0,1,0,0
67,148,139,0,1,0,0
67,145,134,0,1,0,0
78,171,157,0,1,0,0
76,169,154,0,1,0,0
61,127,118,0,1,0,0
62,136,130,0,1,0,0
63,132,126,0,1,0,0
57,143,167,0,1,0,0
119,250,222,0,1,0,0
85,220,200,0,1,0,0
63,152,139,0,1,0,0
55,118,105,0,1,0,0
54,120,115,0,1,0,0
59,122,105,0,1,0,0
56,121,114,0,1,0,0
55,123,115,0,1,0,0
55,130,118,0,1,0,0
62,147,133,0,1,0,0
53,118,106,0,1,0,0
53,112,104,0,1,0,0
55,121,115,0,1,0,0
53,118,116,0,1,0,0
56,124,108,0,1,0,0
54,127,117,0,1,0,0
54,120,117,0,1,0,0
54,126,111,0,1,0,0
57,143,131,0,1,0,0
65,169,151,0,1,0,0
61,155,136,0,1,0,0
59,144,122,0,1,0,0
47,119,108,0,1,0,0
53,119,112,0,1,0,0
52,115,108,0,1,0,0
52,113,100,0,1,0,0
52,107,106,0,1,0,0
53,122,109,0,1,0,0
55,125,115,0,1,0,0
55,128,117,0,1,0,0
56,139,129,0,1,0,0
54,122,114,0,1,0,0
54,122,111,0,1,0,0
54,119,107,0,1,0,0
53,122,109,0,1,0,0
53,120,112,0,1,0,0
53,118,105,0,1,0,0
53,120,111,0,1,0,0
53,116,106,0,1,0,0
54,112,117,0,1,0,0
53,120,110,0,1,0,0
54,118,106,0,1,0,0
52,110,107,0,1,0,0
53,115,104,0,1,0,0
53,112,104,0,1,0,0
54,112,105,0,1,0,0
54,111,103,0,1,0,0
54,118,107,0,1,0,0
65,173,160,0,1,0,0
70,184,162,0,1,0,0
79,208,185,0,1,0,0
75,189,176,0,1,0,0
82,212,183,0,1,0,0
75,186,149,0,1,0,0
57,130,112,0,1,0,0
59,141,128,0,1,0,0
59,137,129,0,1,0,0
55,147,134,0,1,0,0
64,161,141,0,1,0,0
64,162,142,0,1,0,0
59,128,121,0,1,0,0
77,189,172,0,1,0,0
76,199,165,0,1,0,0
69,189,164,0,1,0,0
72,179,159,0,1,0,0
82,175,167,0,1,0,0
89,194,197,0,1,0,0
101,217,189,0,1,0,0
90,163,156,0,1,0,0
89,171,144,0,1,0,0
89,168,160,0,1,0,0
91,165,149,0,1,0,0
101,198,185,0,1,0,0
106,185,176,0,1,0,0
109,173,159,0,1,0,0
110,180,170,0,1,0,0
128,196,178,0,1,0,0
112,169,154,0,1,0,0
133,249,233,0,1,0,0
144,223,179,0,1,0,0
52,110,104,0,1,0,0
53,109,100,0,1,0,0
53,108,102,0,1,0,0
57,129,116,0,1,0,0
57,132,122,0,1,0,0
55,125,114,0,1,0,0
53,115,114,0,1,0,0
56,129,124,0,1,0,0
57,140,129,0,1,0,0
57,144,127,0,1,0,0
57,134,118,0,1,0,0
57,141,135,0,1,0,0
55,132,120,0,1,0,0
59,145,142,0,1,0,0
61,161,151,0,1,0,0
55,170,166,0,1,0,0
60,163,145,0,1,0,0
57,149,134,0,1,0,0
60,141,128,0,1,0,0
59,140,123,0,1,0,0
60,146,128,0,1,0,0
59,152,144,0,1,0,0
64,173,156,0,1,0,0
62,175,153,0,1,0,0
63,165,151,0,1,0,0
62,166,150,0,1,0,0
57,135,123,0,1,0,0
57,135,124,0,1,0,0
56,129,116,0,1,0,0
56,130,126,0,1,0,0
56,135,123,0,1,0,0
56,130,124,0,1,0,0
57,139,129,0,1,0,0
58,143,134,0,1,0,0
59,146,141,0,1,0,0
60,152,133,0,1,0,0
59,155,134,0,1,0,0
59,149,130,0,1,0,0
60,161,140,0,1,0,0
60,153,135,0,1,0,0
59,149,135,0,1,0,0
56,138,125,0,1,0,0
56,134,121,0,1,0,0
58,142,124,0,1,0,0
57,138,128,0,1,0,0
56,127,115,0,1,0,0
56,134,118,0,1,0,0
56,131,115,0,1,0,0
55,125,115,0,1,0,0
60,141,134,0,1,0,0
59,125,114,0,1,0,0
58,127,127,0,1,0,0
61,147,143,0,1,0,0
60,156,139,0,1,0,0
65,168,159,0,1,0,0
60,148,130,0,1,0,0
58,143,127,0,1,0,0
59,142,133,0,1,0,0
59,143,135,0,1,0,0
59,132,132,0,1,0,0
59,140,126,0,1,0,0
60,142,130,0,1,0,0
59,138,124,0,1,0,0
60,145,130,0,1,0,0
60,139,129,0,1,0,0
59,143,131,0,1,0,0
59,142,129,0,1,0,0
61,145,122,0,1,0,0
59,144,138,0,1,0,0
59,140,128,0,1,0,0
59,136,128,0,1,0,0
59,142,128,0,1,0,0
59,138,133,0,1,0,0
60,148,134,0,1,0,0
60,148,133,0,1,0,0
61,148,133,0,1,0,0
60,148,132,0,1,0,0
59,144,133,0,1,0,0
60,147,134,0,1,0,0
60,146,131,0,1,0,0
60,147,136,0,1,0,0
60,146,128,0,1,0,0
60,147,135,0,1,0,0
59,142,129,0,1,0,0
58,126,129,0,1,0,0
58,142,130,0,1,0,0
62,144,134,0,1,0,0
60,130,119,0,1,0,0
60,134,123,0,1,0,0
59,146,133,0,1,0,0
59,140,129,0,1,0,0
58,137,130,0,1,0,0
56,141,135,0,1,0,0
57,117,118,0,1,0,0
56,118,110,0,1,0,0
55,125,114,0,1,0,0
50,123,114,0,1,0,0
