R,G,B
156
52,61,83
54,54,102
54,61,99
53,64,97
67,67,105
46,62,91
51,62,95
73,68,103
53,67,98
61,67,98
75,65,99
48,61,103
60,58,88
71,59,87
74,73,114
79,68,99
69,83,129
137,86,126
68,55,79
61,56,76
61,55,77
63,58,92
51,57,79
49,61,95
65,57,81
47,57,79
56,63,105
58,66,92
66,76,124
151,100,172
154,92,133
77,91,120
96,68,100
64,80,131
68,77,130
90,69,101
89,70,103
90,64,102
63,71,97
73,87,135
132,85,158
66,80,115
97,64,91
62,68,114
62,70,97
72,92,131
71,84,132
82,99,170
141,86,165
64,79,113
64,68,106
61,60,103
97,63,101
95,68,93
63,76,106
99,74,116
88,64,101
114,78,106
74,89,155
154,103,142
134,89,145
153,105,147
81,99,174
74,90,122
147,101,190
149,96,139
84,107,183
79,97,135
74,93,150
130,89,127
71,94,157
77,92,139
140,93,149
75,94,149
112,85,133
126,92,125
112,84,133
83,97,144
127,94,128
73,92,140
69,74,101
60,68,111
52,58,85
116,76,104
70,74,121
97,65,91
58,58,95
88,63,99
97,65,88
58,58,111
59,70,103
62,72,104
62,74,115
62,77,115
103,76,110
66,72,100
61,61,116
67,86,156
127,92,134
84,100,149
117,90,133
68,80,132
83,65,93
83,69,114
92,109,225
98,112,202
178,106,165
168,101,166
159,97,161
88,100,173
125,84,140
71,81,132
128,78,133
68,80,134
94,78,123
65,80,133
66,84,134
67,78,128
102,80,109
91,76,122
111,81,124
97,70,102
63,66,102
60,63,96
76,74,101
80,78,123
65,84,142
62,74,105
88,78,114
64,76,114
64,74,95
103,79,119
136,93,146
77,86,116
108,76,129
105,70,101
111,72,118
115,78,111
104,70,108
116,66,106
120,70,121
68,69,95
70,73,109
65,65,87
89,66,96
94,74,115
112,83,111
86,103,168
93,110,214
162,110,175
95,115,179
193,124,181
98,117,181
78,101,187
69,89,138
104,89,150
69,93,150
73,93,141
63,78,115
59,77,110
58,71,121
70,66,112
59,73,124
63,68,103
90,67,96
96,72,120
68,74,120
104,82,119
102,78,134
70,82,151
65,71,124
89,70,118
55,62,89
68,61,109
80,77,117
93,82,143
100,84,142
68,81,122
106,75,130
121,92,137
73,81,141
103,76,128
94,77,111
64,73,123
100,77,139
71,83,140
120,95,133
120,85,132
77,91,127
134,94,159
76,82,144
145,95,165
129,83,151
85,94,138
83,91,157
81,89,139
144,95,166
83,86,152
85,89,144
156,96,132
72,72,109
119,70,108
130,81,144
73,76,128
76,82,131
81,86,165
158,96,159
83,80,113
78,80,129
120,87,128
77,92,127
75,87,131
74,80,114
140,94,165
62,76,113
52,59,84
97,73,119
139,102,189
73,82,138
61,71,94
80,65,95
93,65,116
64,73,106
93,71,104
67,74,122
118,87,153
73,88,127
114,85,136
106,88,144
117,91,151
132,97,136
88,70,90
62,67,99
82,71,100
82,70,108
115,92,139
65,71,93
59,62,101
66,75,126
64,74,114
69,82,125
74,86,117
71,78,123
83,65,107
