R,G,B,cebolla,manzana,limon,zanahoria
70,117,129,0,0,0,1
51,113,135,0,0,0,1
51,114,126,0,0,0,1
51,105,120,0,0,0,1
51,114,135,0,0,0,1
51,114,134,0,0,0,1
52,117,119,0,0,0,1
51,111,129,0,0,0,1
51,117,126,0,0,0,1
51,112,134,0,0,0,1
51,114,128,0,0,0,1
51,116,126,0,0,0,1
51,112,135,0,0,0,1
51,115,127,0,0,0,1
51,115,126,0,0,0,1
52,112,133,0,0,0,1
51,114,127,0,0,0,1
51,115,126,0,0,0,1
51,117,126,0,0,0,1
51,115,127,0,0,0,1
50,116,127,0,0,0,1
51,117,134,0,0,0,1
51,114,127,0,0,0,1
51,115,126,0,0,0,1
51,111,126,0,0,0,1
51,116,135,0,0,0,1
51,115,126,0,0,0,1
51,116,120,0,0,0,1
51,114,127,0,0,0,1
51,116,127,0,0,0,1
51,118,133,0,0,0,1
51,115,136,0,0,0,1
45,116,121,0,0,0,1
51,118,126,0,0,0,1
51,114,121,0,0,0,1
51,110,127,0,0,0,1
51,117,126,0,0,0,1
51,114,127,0,0,0,1
51,110,125,0,0,0,1
51,113,134,0,0,0,1
52,105,126,0,0,0,1
51,111,126,0,0,0,1
45,113,126,0,0,0,1
51,115,127,0,0,0,1
51,115,126,0,0,0,1
51,114,126,0,0,0,1
51,115,136,0,0,0,1
51,109,120,0,0,0,1
51,111,126,0,0,0,1
52,114,127,0,0,0,1
51,104,121,0,0,0,1
52,117,134,0,0,0,1
51,115,127,0,0,0,1
51,115,126,0,0,0,1
51,111,126,0,0,0,1
51,111,127,0,0,0,1
51,116,126,0,0,0,1
51,111,126,0,0,0,1
51,115,128,0,0,0,1
51,115,126,0,0,0,1
51,112,126,0,0,0,1
51,115,135,0,0,0,1
51,115,126,0,0,0,1
51,111,120,0,0,0,1
51,115,127,0,0,0,1
46,110,127,0,0,0,1
51,117,126,0,0,0,1
51,114,136,0,0,0,1
51,116,125,0,0,0,1
51,116,133,0,0,0,1
51,110,135,0,0,0,1
51,112,134,0,0,0,1
51,107,133,0,0,0,1
51,117,127,0,0,0,1
52,111,125,0,0,0,1
51,105,120,0,0,0,1
51,116,136,0,0,0,1
51,114,127,0,0,0,1
51,111,126,0,0,0,1
51,116,127,0,0,0,1
51,116,126,0,0,0,1
51,112,134,0,0,0,1
51,115,134,0,0,0,1
51,116,125,0,0,0,1
51,111,126,0,0,0,1
51,116,127,0,0,0,1
51,117,134,0,0,0,1
45,111,126,0,0,0,1
51,115,127,0,0,0,1
51,116,135,0,0,0,1
51,106,120,0,0,0,1
51,116,136,0,0,0,1
52,116,134,0,0,0,1
51,112,120,0,0,0,1
51,112,135,0,0,0,1
51,110,126,0,0,0,1
45,112,134,0,0,0,1
50,110,121,0,0,0,1
51,116,126,0,0,0,1
51,111,126,0,0,0,1
51,113,135,0,0,0,1
51,114,133,0,0,0,1
45,115,131,0,0,0,1
51,105,127,0,0,0,1
52,113,134,0,0,0,1
52,113,133,0,0,0,1
51,116,121,0,0,0,1
51,111,126,0,0,0,1
51,118,134,0,0,0,1
52,111,133,0,0,0,1
51,114,127,0,0,0,1
51,116,132,0,0,0,1
51,114,134,0,0,0,1
45,113,134,0,0,0,1
51,109,131,0,0,0,1
51,113,126,0,0,0,1
52,115,133,0,0,0,1
51,110,126,0,0,0,1
51,112,133,0,0,0,1
51,114,134,0,0,0,1
51,111,133,0,0,0,1
51,111,126,0,0,0,1
52,114,128,0,0,0,1
51,112,132,0,0,0,1
51,111,127,0,0,0,1
52,115,134,0,0,0,1
51,105,134,0,0,0,1
51,114,126,0,0,0,1
52,117,132,0,0,0,1
51,112,134,0,0,0,1
51,114,134,0,0,0,1
51,106,125,0,0,0,1
52,115,132,0,0,0,1
51,115,132,0,0,0,1
45,117,132,0,0,0,1
51,111,131,0,0,0,1
52,113,125,0,0,0,1
52,114,135,0,0,0,1
51,116,135,0,0,0,1
52,106,126,0,0,0,1
51,112,135,0,0,0,1
51,110,127,0,0,0,1
51,105,120,0,0,0,1
51,112,126,0,0,0,1
51,116,121,0,0,0,1
51,117,126,0,0,0,1
50,112,126,0,0,0,1
51,110,129,0,0,0,1
52,112,126,0,0,0,1
51,111,126,0,0,0,1
52,111,121,0,0,0,1
52,111,126,0,0,0,1
51,112,133,0,0,0,1
51,111,127,0,0,0,1
52,106,120,0,0,0,1
50,113,134,0,0,0,1
51,111,126,0,0,0,1
51,112,133,0,0,0,1
51,106,131,0,0,0,1
51,113,126,0,0,0,1
52,111,126,0,0,0,1
51,118,127,0,0,0,1
51,112,132,0,0,0,1
52,116,133,0,0,0,1
47,111,133,0,0,0,1
51,107,120,0,0,0,1
52,115,134,0,0,0,1
51,112,132,0,0,0,1
51,111,134,0,0,0,1
52,115,133,0,0,0,1
51,113,132,0,0,0,1
51,112,126,0,0,0,1
51,114,133,0,0,0,1
51,111,135,0,0,0,1
52,112,135,0,0,0,1
51,115,130,0,0,0,1
51,110,129,0,0,0,1
51,111,133,0,0,0,1
51,115,134,0,0,0,1
51,116,135,0,0,0,1
52,117,125,0,0,0,1
51,114,134,0,0,0,1
51,113,135,0,0,0,1
51,106,120,0,0,0,1
52,116,133,0,0,0,1
51,111,128,0,0,0,1
51,112,120,0,0,0,1
51,116,134,0,0,0,1
51,111,127,0,0,0,1
51,113,120,0,0,0,1
